"Database","Connectivity From","Connectivity To","Projection Strength","Organism","Notes","Reference","database","con_from_abb","con_from","con_from_id","con_to_abb","con_to","projection_strength","notes","con_to_id","link","species","ref_link","reference","nifid","species_id","pmid","v_uuid"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-PBNm (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","lateral paragigantocellular nucleus","medial parabrachial nucleus","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-PBNm (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","lateral paragigantocellular nucleus","nlx_143582","","medial parabrachial nucleus","exists","","birnlex_4038","http://www.unidesign.ch/wiki/index.php?title=lpgN-PBNm (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=lpgN-PBNm (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","6d96ffb3-9e48-5fc4-a166-329feb39c92b"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-RN (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","lateral paragigantocellular nucleus","red nucleus","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-RN (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","lateral paragigantocellular nucleus","nlx_143582","","red nucleus","exists","","birnlex_1478","http://www.unidesign.ch/wiki/index.php?title=lpgN-RN (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=lpgN-RN (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","4ef29192-3d4a-59cb-8def-18035ad1dc8e"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-tegtrc (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","lateral paragigantocellular nucleus","central tegmental tract","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-tegtrc (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","lateral paragigantocellular nucleus","nlx_143582","","central tegmental tract","exists","","nlx_anat_1010012","http://www.unidesign.ch/wiki/index.php?title=lpgN-tegtrc (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=lpgN-tegtrc (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","595b1222-9d5f-52bb-b484-0c8b1baed21b"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-VNC (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","lateral paragigantocellular nucleus","vestibular nuclear complex","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-VNC (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","lateral paragigantocellular nucleus","nlx_143582","","vestibular nuclear complex","exists","","birnlex_1337","http://www.unidesign.ch/wiki/index.php?title=lpgN-VNC (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=lpgN-VNC (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","b08e0723-bd84-5060-9357-375d18837ec9"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=CA1-CA2 (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","ca 1 field","ca 2 field","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=CA1-CA2 (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","ca 1 field","birnlex_1197","","ca 2 field","exists","","birnlex_1362","http://www.unidesign.ch/wiki/index.php?title=CA1-CA2 (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=CA1-CA2 (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","98d6af07-fdf1-5805-aa93-6d3025c2f027"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=SCN-ApN (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","suprachiasmatic nucleus","anteroventral periventricular nucleus","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=SCN-ApN (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","suprachiasmatic nucleus","birnlex_1325","","anteroventral periventricular nucleus","exists","","birnlex_1401","http://www.unidesign.ch/wiki/index.php?title=SCN-ApN (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=SCN-ApN (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","2c3f95ce-863e-5ae6-8b68-ae2141ff2d26"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=SCN-DMN (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","suprachiasmatic nucleus","dorsomedial nucleus of hypothalamus","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=SCN-DMN (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","suprachiasmatic nucleus","birnlex_1325","","dorsomedial nucleus of hypothalamus","exists","","birnlex_1558","http://www.unidesign.ch/wiki/index.php?title=SCN-DMN (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=SCN-DMN (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","f1602c50-c8e0-599a-a637-8bf7bb167973"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=SCN-PVN (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","suprachiasmatic nucleus","paraventricular nucleus of hypothalamus","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=SCN-PVN (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","suprachiasmatic nucleus","birnlex_1325","","paraventricular nucleus of hypothalamus","exists","","birnlex_1407","http://www.unidesign.ch/wiki/index.php?title=SCN-PVN (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=SCN-PVN (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","8e435faa-493f-50f6-bc0f-b258be1aeff5"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=V1-V2 (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","visual area 1","visual area 2","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=V1-V2 (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","visual area 1","","","visual area 2","exists","","","http://www.unidesign.ch/wiki/index.php?title=V1-V2 (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=V1-V2 (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","c5daaa1f-d798-52e3-996a-ec07d4907a33"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=V2-V1 (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","visual area 2","visual area 1","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=V2-V1 (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","visual area 2","","","visual area 1","exists","","","http://www.unidesign.ch/wiki/index.php?title=V2-V1 (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=V2-V1 (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","49fd0901-9702-58a3-b858-dd3385dd44b7"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-IRt (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","lateral paragigantocellular nucleus","intermediate reticular zone","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-IRt (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","lateral paragigantocellular nucleus","nlx_143582","","intermediate reticular zone","exists","","","http://www.unidesign.ch/wiki/index.php?title=lpgN-IRt (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=lpgN-IRt (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","b513bcf4-b34d-5373-9873-0aa493b47ab0"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-KFN (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","lateral paragigantocellular nucleus","kolliker-fuse nucleus","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-KFN (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","lateral paragigantocellular nucleus","nlx_143582","","kolliker-fuse nucleus","exists","","birnlex_2641","http://www.unidesign.ch/wiki/index.php?title=lpgN-KFN (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=lpgN-KFN (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","57e70fc7-5452-5672-b2b5-cc4f6831e5ab"
"<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-ml (Homo sapiens)"" class=""external"" target=""_blank"">ConnectomeWIKI</a>","lateral paragigantocellular nucleus","medial lemniscus","exists","Homo sapiens","","<a href=""http://www.unidesign.ch/wiki/index.php?title=lpgN-ml (Homo sapiens)#tab=References"" class=""external"" target=""_blank"">Links not available</a>","ConnectomeWIKI","","lateral paragigantocellular nucleus","nlx_143582","","medial lemniscus","exists","","birnlex_887","http://www.unidesign.ch/wiki/index.php?title=lpgN-ml (Homo sapiens)","Homo sapiens","http://www.unidesign.ch/wiki/index.php?title=lpgN-ml (Homo sapiens)#tab=References","Links not available","nif-0000-24441","NCBITaxon_9606","","ff8c72fd-0b49-5e82-9f76-9e0a6cf9a42d"
